Age,Area,CreditAvlb,Firsthand,FloorCount,FloorNumber,Frontage,Fuel,Furniture,MaintenanceFee,Price,Room,Town,Heating_num
8,115,2,1,3,1.0,0,3,0,20,115000,4,7,5
15,360,2,1,13,3.0,0,3,0,660,2600000,8,7,7
2,160,2,1,7,0.25,1,3,0,0,450000,4,9,5
10,180,2,1,4,4.0,1,3,0,75,950000,5,9,5
19,140,2,1,2,3.0,1,3,0,50,289000,4,9,5
0,55,2,2,10,3.0,1,3,0,220,253000,2,8,7
0,150,2,2,6,1.0,1,3,0,0,235000,4,4,5
9,300,2,1,4,4.0,1,3,0,50,549000,5,9,5
9,300,2,1,3,3.0,1,3,0,70,610000,6,9,5
15,130,2,1,3,0.5,1,3,0,40,240000,4,9,5
15,75,2,1,3,0.5,1,3,0,0,155000,3,7,5
5,140,2,1,4,0.25,1,3,0,0,260000,4,10,5
30,120,2,1,4,2.0,1,3,0,300,665000,4,9,6
8,120,2,1,3,0.5,0,3,0,0,185000,4,5,5
4,200,2,1,12,1.0,1,3,0,300,715000,5,7,7
1,170,2,1,3,1.0,0,3,0,0,290000,5,6,5
